JobTitle,Department,QualificationRequired,ExamRequired,Salary
Educational Services Officer,Forest Department,PhD,Civil Services Exam,77000
State Public Service Commission,Forest Department,PhD,Forest Services Exam,96000
Educational Services Officer,Forest Department,Master's Degree,State PSC Exam,87000
Civil Services,Forest Department,PhD,UPSC Exam,111000
Educational Services Officer,Forest Department,Bachelor's Degree,Railway Exam,71000
Indian Administrative Service,Forest Department,Master's Degree,Bank PO Exam,128000
State Public Service Commission,Forest Department,Bachelor's Degree,SSC Exam,95000
State Public Service Commission,Forest Department,PhD,Tax Inspector Exam,81000
Indian Administrative Service,Forest Department,PhD,UPSC Exam,102000
Railway Officer,Forest Department,Master's Degree,Forest Services Exam,77000
Indian Police Service,Forest Department,Bachelor's Degree,Tax Inspector Exam,111000
Forest Services Officer,Forest Department,PhD,Public Health Officer Exam,99000
Tax Inspector,Forest Department,PhD,Education Services Exam,80000
Civil Services,Forest Department,Master's Degree,Tax Inspector Exam,91000
Indian Administrative Service,Forest Department,Master's Degree,SSC Exam,127000
Civil Services,Forest Department,PhD,Forest Services Exam,117000
Civil Services,Forest Department,Master's Degree,Civil Services Exam,108000
Tax Inspector,Health Services,PhD,Railway Exam,64000
State Public Service Commission,Health Services,Bachelor's Degree,SSC Exam,79000
Indian Police Service,Health Services,PhD,Bank PO Exam,119000
Indian Administrative Service,Health Services,Master's Degree,SSC Exam,124000
State Public Service Commission,Health Services,PhD,Railway Exam,83000
Railway Officer,Health Services,Bachelor's Degree,Education Services Exam,86000
Railway Officer,Health Services,PhD,Railway Exam,73000
Public Health Officer,Health Services,Master's Degree,Tax Inspector Exam,63000
Tax Inspector,Health Services,PhD,Tax Inspector Exam,64000
Civil Services,Health Services,PhD,Public Health Officer Exam,113000
State Public Service Commission,Health Services,Bachelor's Degree,Education Services Exam,81000
Public Health Officer,Health Services,PhD,Railway Exam,83000
Civil Services,Health Services,Master's Degree,State PSC Exam,86000
Railway Officer,Health Services,PhD,Civil Services Exam,88000
Indian Police Service,Health Services,Bachelor's Degree,Public Health Officer Exam,91000
Indian Administrative Service,Health Services,Bachelor's Degree,SSC Exam,91000
Public Health Officer,Health Services,PhD,UPSC Exam,78000
Civil Services,Health Services,Bachelor's Degree,Bank PO Exam,107000
Civil Services,Health Services,Bachelor's Degree,State PSC Exam,99000
State Public Service Commission,Health Services,Master's Degree,Forest Services Exam,74000
Tax Inspector,Health Services,Bachelor's Degree,State PSC Exam,83000
Bank Probationary Officer,Health Services,Master's Degree,Tax Inspector Exam,66000
Educational Services Officer,Health Services,PhD,Railway Exam,92000
Indian Police Service,Health Services,Bachelor's Degree,Bank PO Exam,99000
Tax Inspector,Health Services,Master's Degree,State PSC Exam,83000
State Public Service Commission,Health Services,Bachelor's Degree,Public Health Officer Exam,93000
Railway Officer,Health Services,Bachelor's Degree,Civil Services Exam,64000
Bank Probationary Officer,Health Services,PhD,Civil Services Exam,67000
Indian Administrative Service,Health Services,PhD,Bank PO Exam,115000
Bank Probationary Officer,Health Services,Bachelor's Degree,State PSC Exam,69000
Public Health Officer,Health Services,Master's Degree,Education Services Exam,85000
Tax Inspector,Health Services,PhD,Forest Services Exam,68000
Educational Services Officer,Health Services,Bachelor's Degree,Railway Exam,65000
Forest Services Officer,Health Services,Master's Degree,Education Services Exam,70000
Indian Police Service,Health Services,Bachelor's Degree,Civil Services Exam,111000
Educational Services Officer,Health Services,Master's Degree,Tax Inspector Exam,86000
Forest Services Officer,Health Services,Master's Degree,Forest Services Exam,75000
Educational Services Officer,Health Services,Master's Degree,Education Services Exam,72000
State Public Service Commission,Health Services,PhD,Forest Services Exam,89000
Bank Probationary Officer,Health Services,PhD,Railway Exam,89000
Tax Inspector,Health Services,Bachelor's Degree,Public Health Officer Exam,62000
Tax Inspector,Health Services,Bachelor's Degree,UPSC Exam,72000
Public Health Officer,Health Services,Bachelor's Degree,Bank PO Exam,70000
Forest Services Officer,Health Services,Bachelor's Degree,Bank PO Exam,94000
Public Health Officer,Health Services,Bachelor's Degree,Civil Services Exam,84000
Public Health Officer,Health Services,Master's Degree,Tax Inspector Exam,67000
Forest Services Officer,Health Services,Bachelor's Degree,SSC Exam,73000
Public Health Officer,Health Services,PhD,UPSC Exam,68000
Bank Probationary Officer,Health Services,Bachelor's Degree,Civil Services Exam,79000
Educational Services Officer,Health Services,Bachelor's Degree,Tax Inspector Exam,83000
Railway Officer,Health Services,Bachelor's Degree,Civil Services Exam,92000
Railway Officer,Health Services,PhD,Bank PO Exam,74000
Educational Services Officer,Health Services,Master's Degree,SSC Exam,93000
Educational Services Officer,Health Services,Bachelor's Degree,SSC Exam,66000
Civil Services,Health Services,Bachelor's Degree,Bank PO Exam,96000
Indian Police Service,Health Services,Bachelor's Degree,SSC Exam,87000
Tax Inspector,Health Services,PhD,Railway Exam,65000
Bank Probationary Officer,Health Services,Bachelor's Degree,SSC Exam,82000
Tax Inspector,Health Services,PhD,Education Services Exam,55000
Tax Inspector,Health Services,Bachelor's Degree,SSC Exam,84000
Railway Officer,Health Services,Bachelor's Degree,Education Services Exam,63000
State Public Service Commission,Health Services,Bachelor's Degree,Forest Services Exam,73000
Bank Probationary Officer,Health Services,Bachelor's Degree,Public Health Officer Exam,69000
Civil Services,Health Services,PhD,Civil Services Exam,119000
Civil Services,Health Services,Master's Degree,Tax Inspector Exam,84000
Public Health Officer,Health Services,Master's Degree,Railway Exam,72000
Public Health Officer,Health Services,Master's Degree,Public Health Officer Exam,74000
Civil Services,Health Services,Bachelor's Degree,UPSC Exam,88000
Indian Administrative Service,Health Services,Master's Degree,Forest Services Exam,105000
Educational Services Officer,Health Services,Master's Degree,Bank PO Exam,86000
State Public Service Commission,Health Services,Master's Degree,UPSC Exam,100000
Civil Services,Health Services,Bachelor's Degree,Forest Services Exam,106000
Public Health Officer,Health Services,Master's Degree,Railway Exam,71000
State Public Service Commission,Health Services,Master's Degree,Tax Inspector Exam,75000
Forest Services Officer,Health Services,Bachelor's Degree,Civil Services Exam,73000
Educational Services Officer,Health Services,PhD,Public Health Officer Exam,74000
Civil Services,Health Services,Master's Degree,UPSC Exam,120000
Railway Officer,Health Services,PhD,Tax Inspector Exam,79000
Railway Officer,Health Services,PhD,Forest Services Exam,73000
State Public Service Commission,Health Services,PhD,Public Health Officer Exam,95000
Railway Officer,Health Services,Bachelor's Degree,Bank PO Exam,75000
Forest Services Officer,Health Services,Bachelor's Degree,Bank PO Exam,92000
Indian Police Service,Health Services,Master's Degree,Public Health Officer Exam,107000
Indian Police Service,Health Services,Master's Degree,Public Health Officer Exam,119000
Educational Services Officer,Health Services,PhD,UPSC Exam,79000
Public Health Officer,Health Services,Master's Degree,Public Health Officer Exam,82000
Bank Probationary Officer,Health Services,PhD,SSC Exam,83000
Tax Inspector,Health Services,Bachelor's Degree,Bank PO Exam,74000
State Public Service Commission,Health Services,Bachelor's Degree,SSC Exam,82000
State Public Service Commission,Health Services,PhD,Forest Services Exam,90000
Educational Services Officer,Health Services,Bachelor's Degree,SSC Exam,74000
Educational Services Officer,Health Services,Bachelor's Degree,Forest Services Exam,81000
Indian Administrative Service,Health Services,Master's Degree,SSC Exam,95000
Civil Services,Health Services,PhD,Public Health Officer Exam,105000
Indian Administrative Service,Health Services,Bachelor's Degree,Public Health Officer Exam,92000
Civil Services,Health Services,Bachelor's Degree,State PSC Exam,115000
Educational Services Officer,Health Services,Bachelor's Degree,UPSC Exam,92000
Bank Probationary Officer,Health Services,PhD,Railway Exam,66000
Civil Services,Health Services,PhD,Civil Services Exam,98000
Railway Officer,Health Services,Master's Degree,Public Health Officer Exam,73000
Tax Inspector,Health Services,PhD,Bank PO Exam,67000
Tax Inspector,Health Services,Master's Degree,Civil Services Exam,80000
Forest Services Officer,Health Services,PhD,Civil Services Exam,66000
Indian Administrative Service,Health Services,PhD,Bank PO Exam,129000
Indian Police Service,Health Services,PhD,Public Health Officer Exam,100000
Civil Services,Health Services,PhD,Railway Exam,86000
Indian Administrative Service,Health Services,Bachelor's Degree,Forest Services Exam,128000
Civil Services,Health Services,Master's Degree,Forest Services Exam,95000
Bank Probationary Officer,Health Services,Master's Degree,Civil Services Exam,88000
Public Health Officer,Health Services,Master's Degree,Education Services Exam,75000
Forest Services Officer,Police Services,Bachelor's Degree,SSC Exam,67000
Bank Probationary Officer,Police Services,PhD,SSC Exam,74000
Educational Services Officer,Police Services,Master's Degree,State PSC Exam,79000
Bank Probationary Officer,Police Services,Master's Degree,UPSC Exam,86000
Railway Officer,Police Services,Bachelor's Degree,Education Services Exam,66000
Educational Services Officer,Police Services,Master's Degree,Tax Inspector Exam,78000
Civil Services,Police Services,PhD,Public Health Officer Exam,109000
Indian Police Service,Police Services,Master's Degree,Education Services Exam,116000
Indian Administrative Service,Police Services,Master's Degree,Tax Inspector Exam,99000
Indian Police Service,Police Services,Master's Degree,Education Services Exam,87000
State Public Service Commission,Police Services,Master's Degree,Bank PO Exam,94000
Civil Services,Police Services,Master's Degree,SSC Exam,115000
Public Health Officer,Police Services,Bachelor's Degree,State PSC Exam,85000
Indian Administrative Service,Police Services,Master's Degree,Railway Exam,130000
Forest Services Officer,Police Services,PhD,SSC Exam,87000
Public Health Officer,Police Services,Bachelor's Degree,Education Services Exam,63000
State Public Service Commission,Police Services,Master's Degree,State PSC Exam,80000
Forest Services Officer,Police Services,Bachelor's Degree,State PSC Exam,97000
Bank Probationary Officer,Police Services,Bachelor's Degree,Forest Services Exam,82000
Indian Administrative Service,Police Services,Master's Degree,Civil Services Exam,115000
Bank Probationary Officer,Police Services,PhD,Civil Services Exam,88000
Educational Services Officer,Police Services,Bachelor's Degree,Forest Services Exam,75000
Public Health Officer,Police Services,PhD,Forest Services Exam,64000
Tax Inspector,Police Services,Bachelor's Degree,Civil Services Exam,56000
Indian Administrative Service,Police Services,PhD,SSC Exam,129000
Tax Inspector,Police Services,PhD,SSC Exam,84000
Railway Officer,Police Services,PhD,State PSC Exam,77000
Public Health Officer,Police Services,PhD,Tax Inspector Exam,64000
Forest Services Officer,Police Services,Bachelor's Degree,UPSC Exam,66000
Forest Services Officer,Police Services,Bachelor's Degree,Railway Exam,85000
Railway Officer,Police Services,PhD,Tax Inspector Exam,79000
Public Health Officer,Police Services,Master's Degree,SSC Exam,80000
Educational Services Officer,Police Services,PhD,UPSC Exam,80000
Indian Police Service,Police Services,Bachelor's Degree,SSC Exam,88000
Forest Services Officer,Police Services,PhD,Forest Services Exam,68000
Indian Police Service,Police Services,Master's Degree,Civil Services Exam,112000
Indian Police Service,Police Services,PhD,Civil Services Exam,112000
Indian Administrative Service,Police Services,Bachelor's Degree,UPSC Exam,105000
Indian Administrative Service,Police Services,PhD,Public Health Officer Exam,130000
Railway Officer,Police Services,Master's Degree,Railway Exam,79000
Indian Police Service,Police Services,Master's Degree,UPSC Exam,96000
Indian Police Service,Police Services,PhD,Public Health Officer Exam,104000
Educational Services Officer,Police Services,Master's Degree,UPSC Exam,92000
Public Health Officer,Police Services,Bachelor's Degree,Tax Inspector Exam,81000
Educational Services Officer,Police Services,Master's Degree,UPSC Exam,65000
Indian Police Service,Police Services,PhD,Railway Exam,98000
Civil Services,Police Services,PhD,UPSC Exam,96000
Educational Services Officer,Police Services,Master's Degree,SSC Exam,93000
Educational Services Officer,Police Services,PhD,UPSC Exam,76000
Civil Services,Police Services,PhD,Public Health Officer Exam,100000
Educational Services Officer,Police Services,PhD,Civil Services Exam,85000
Indian Police Service,Police Services,Bachelor's Degree,State PSC Exam,88000
Indian Police Service,Police Services,Bachelor's Degree,Public Health Officer Exam,99000
Public Health Officer,Police Services,Master's Degree,State PSC Exam,84000
Railway Officer,Police Services,PhD,State PSC Exam,70000
State Public Service Commission,Police Services,Master's Degree,Tax Inspector Exam,87000
Indian Administrative Service,Police Services,Bachelor's Degree,UPSC Exam,107000
Indian Police Service,Police Services,PhD,Public Health Officer Exam,96000
Railway Officer,Police Services,Master's Degree,UPSC Exam,61000
Educational Services Officer,Police Services,Bachelor's Degree,Tax Inspector Exam,69000
Bank Probationary Officer,Police Services,Master's Degree,Railway Exam,73000
Railway Officer,Police Services,Master's Degree,Railway Exam,86000
Railway Officer,Police Services,PhD,Public Health Officer Exam,87000
Railway Officer,Police Services,PhD,State PSC Exam,94000
Bank Probationary Officer,Police Services,Bachelor's Degree,SSC Exam,71000
Indian Administrative Service,Police Services,PhD,Bank PO Exam,92000
Educational Services Officer,Police Services,Bachelor's Degree,Public Health Officer Exam,83000
Indian Police Service,Police Services,PhD,State PSC Exam,89000
Indian Police Service,Police Services,Master's Degree,Forest Services Exam,90000
Forest Services Officer,Police Services,Bachelor's Degree,Public Health Officer Exam,80000
State Public Service Commission,Police Services,PhD,Bank PO Exam,91000
Educational Services Officer,Police Services,Master's Degree,Civil Services Exam,70000
Indian Administrative Service,Police Services,PhD,UPSC Exam,97000
Bank Probationary Officer,Police Services,Master's Degree,State PSC Exam,90000
Civil Services,Police Services,Master's Degree,Education Services Exam,97000
Indian Administrative Service,Police Services,PhD,Bank PO Exam,91000
State Public Service Commission,Police Services,Bachelor's Degree,Education Services Exam,96000
Railway Officer,Police Services,Master's Degree,Bank PO Exam,86000
State Public Service Commission,Police Services,PhD,Forest Services Exam,92000
Bank Probationary Officer,Police Services,PhD,Bank PO Exam,62000
Indian Police Service,Police Services,Master's Degree,Education Services Exam,96000
State Public Service Commission,Police Services,Bachelor's Degree,SSC Exam,87000
Indian Police Service,Police Services,PhD,Bank PO Exam,106000
Indian Administrative Service,Police Services,Master's Degree,SSC Exam,108000
Forest Services Officer,Police Services,PhD,Civil Services Exam,95000
Public Health Officer,Police Services,Master's Degree,Railway Exam,64000
Public Health Officer,Police Services,PhD,Civil Services Exam,73000
Tax Inspector,Police Services,Bachelor's Degree,State PSC Exam,82000
Railway Officer,Police Services,PhD,Education Services Exam,83000
Educational Services Officer,Police Services,PhD,Education Services Exam,91000
Indian Administrative Service,Police Services,Bachelor's Degree,Civil Services Exam,99000
Tax Inspector,Police Services,Bachelor's Degree,Education Services Exam,84000
State Public Service Commission,Police Services,PhD,Forest Services Exam,75000
Indian Police Service,Police Services,Bachelor's Degree,Civil Services Exam,93000
Public Health Officer,Police Services,Bachelor's Degree,Forest Services Exam,60000
Railway Officer,Police Services,Bachelor's Degree,Railway Exam,64000
Public Health Officer,Police Services,Bachelor's Degree,Education Services Exam,82000
Railway Officer,Police Services,Bachelor's Degree,Education Services Exam,61000
Railway Officer,Public Health Department,PhD,Railway Exam,71000
Forest Services Officer,Public Health Department,Master's Degree,Railway Exam,95000
Indian Police Service,Public Health Department,Master's Degree,Civil Services Exam,104000
Educational Services Officer,Public Health Department,Bachelor's Degree,Education Services Exam,82000
Civil Services,Public Health Department,PhD,Forest Services Exam,90000
Forest Services Officer,Public Health Department,PhD,Tax Inspector Exam,91000
State Public Service Commission,Public Health Department,Bachelor's Degree,Public Health Officer Exam,79000
Railway Officer,Public Health Department,Master's Degree,State PSC Exam,71000
Civil Services,Public Health Department,PhD,Railway Exam,90000
Railway Officer,Public Health Department,PhD,Forest Services Exam,76000
Indian Police Service,Public Health Department,Bachelor's Degree,SSC Exam,89000
Forest Services Officer,Public Health Department,PhD,Tax Inspector Exam,91000
Railway Officer,Public Health Department,Master's Degree,Education Services Exam,75000
Indian Police Service,Public Health Department,Bachelor's Degree,Public Health Officer Exam,91000
State Public Service Commission,Public Health Department,Master's Degree,Public Health Officer Exam,97000
Civil Services,Public Health Department,Bachelor's Degree,SSC Exam,108000
Educational Services Officer,Public Health Department,Master's Degree,Railway Exam,74000
Civil Services,Public Health Department,Bachelor's Degree,Railway Exam,93000
Educational Services Officer,Public Health Department,Bachelor's Degree,Civil Services Exam,93000
Civil Services,Public Health Department,Master's Degree,Forest Services Exam,108000
Forest Services Officer,Public Health Department,Bachelor's Degree,UPSC Exam,97000
State Public Service Commission,Public Health Department,PhD,State PSC Exam,95000
Bank Probationary Officer,Public Health Department,Master's Degree,Railway Exam,63000
State Public Service Commission,Public Health Department,Bachelor's Degree,Railway Exam,84000
Educational Services Officer,Public Health Department,PhD,Education Services Exam,67000
Educational Services Officer,Public Health Department,PhD,State PSC Exam,75000
Educational Services Officer,Public Health Department,Master's Degree,State PSC Exam,92000
Public Health Officer,Public Health Department,Bachelor's Degree,Bank PO Exam,69000
Forest Services Officer,Public Health Department,Master's Degree,UPSC Exam,97000
Tax Inspector,Public Health Department,Master's Degree,Education Services Exam,79000
Bank Probationary Officer,Public Health Department,Bachelor's Degree,UPSC Exam,72000
Forest Services Officer,Public Health Department,Bachelor's Degree,Forest Services Exam,91000
Tax Inspector,Public Health Department,Bachelor's Degree,Education Services Exam,70000
Indian Administrative Service,Public Health Department,Bachelor's Degree,Railway Exam,106000
Civil Services,Public Health Department,Master's Degree,State PSC Exam,97000
Tax Inspector,Public Health Department,Master's Degree,Education Services Exam,83000
Railway Officer,Public Health Department,PhD,Forest Services Exam,81000
Railway Officer,Public Health Department,PhD,Tax Inspector Exam,76000
Civil Services,Public Health Department,PhD,Civil Services Exam,112000
Indian Police Service,Public Health Department,Bachelor's Degree,Tax Inspector Exam,100000
Indian Administrative Service,Public Health Department,PhD,Forest Services Exam,125000
Indian Administrative Service,Public Health Department,Bachelor's Degree,SSC Exam,96000
Educational Services Officer,Public Health Department,PhD,SSC Exam,76000
State Public Service Commission,Public Health Department,PhD,Education Services Exam,73000
Indian Police Service,Public Health Department,Bachelor's Degree,Education Services Exam,99000
Civil Services,Public Health Department,Bachelor's Degree,SSC Exam,108000
Civil Services,Public Health Department,Bachelor's Degree,SSC Exam,109000
Forest Services Officer,Public Health Department,Master's Degree,Public Health Officer Exam,99000
Forest Services Officer,Public Health Department,Master's Degree,Civil Services Exam,78000
Railway Officer,Public Health Department,Bachelor's Degree,Civil Services Exam,62000
Civil Services,Public Health Department,Master's Degree,Civil Services Exam,89000
Forest Services Officer,Public Health Department,Bachelor's Degree,Railway Exam,66000
Indian Police Service,Public Health Department,Bachelor's Degree,Public Health Officer Exam,102000
Indian Police Service,Public Health Department,Master's Degree,SSC Exam,93000
Indian Administrative Service,Public Health Department,PhD,Forest Services Exam,125000
Bank Probationary Officer,Public Health Department,PhD,Civil Services Exam,74000
Railway Officer,Public Health Department,Master's Degree,Railway Exam,94000
Bank Probationary Officer,Public Health Department,PhD,UPSC Exam,70000
Civil Services,Public Health Department,PhD,Civil Services Exam,89000
Railway Officer,Public Health Department,Bachelor's Degree,State PSC Exam,77000
Bank Probationary Officer,Public Health Department,Master's Degree,Education Services Exam,82000
Forest Services Officer,Public Health Department,Master's Degree,State PSC Exam,78000
Public Health Officer,Public Health Department,PhD,Public Health Officer Exam,72000
Civil Services,Public Health Department,Master's Degree,SSC Exam,106000
Tax Inspector,Public Health Department,Bachelor's Degree,State PSC Exam,76000
Tax Inspector,Public Health Department,Bachelor's Degree,Bank PO Exam,73000
Indian Police Service,Public Health Department,Bachelor's Degree,UPSC Exam,107000
Tax Inspector,Public Health Department,Master's Degree,Railway Exam,64000
Educational Services Officer,Public Health Department,Bachelor's Degree,UPSC Exam,74000
Educational Services Officer,Public Health Department,PhD,Civil Services Exam,76000
Indian Police Service,Public Health Department,Master's Degree,Public Health Officer Exam,92000
State Public Service Commission,Public Health Department,PhD,SSC Exam,93000
Indian Police Service,Public Health Department,Bachelor's Degree,Education Services Exam,112000
Indian Police Service,Public Health Department,Bachelor's Degree,SSC Exam,116000
Civil Services,Public Health Department,Bachelor's Degree,Public Health Officer Exam,88000
State Public Service Commission,Public Health Department,Master's Degree,Civil Services Exam,70000
State Public Service Commission,Public Health Department,PhD,Public Health Officer Exam,90000
Indian Administrative Service,Public Health Department,Bachelor's Degree,Civil Services Exam,111000
Indian Administrative Service,Public Health Department,Bachelor's Degree,Forest Services Exam,92000
State Public Service Commission,Public Health Department,Master's Degree,Education Services Exam,76000
Tax Inspector,Public Health Department,PhD,SSC Exam,60000
Public Health Officer,Public Health Department,Master's Degree,Forest Services Exam,86000
Bank Probationary Officer,Public Health Department,Master's Degree,Tax Inspector Exam,78000
Bank Probationary Officer,Public Health Department,Bachelor's Degree,Public Health Officer Exam,80000
Educational Services Officer,Public Health Department,Bachelor's Degree,State PSC Exam,89000
State Public Service Commission,Public Health Department,Bachelor's Degree,Public Health Officer Exam,86000
Bank Probationary Officer,Public Health Department,Master's Degree,Education Services Exam,77000
Tax Inspector,Public Health Department,Master's Degree,Railway Exam,61000
Indian Administrative Service,Public Health Department,Master's Degree,UPSC Exam,113000
Forest Services Officer,Public Health Department,Bachelor's Degree,State PSC Exam,69000
Public Health Officer,Public Health Department,Bachelor's Degree,Bank PO Exam,84000
Railway Officer,Public Health Department,Master's Degree,Forest Services Exam,84000
Railway Officer,Public Health Department,Master's Degree,State PSC Exam,78000
Forest Services Officer,Public Health Department,Bachelor's Degree,State PSC Exam,68000
State Public Service Commission,Public Health Department,Bachelor's Degree,Railway Exam,94000
Indian Administrative Service,Public Health Department,Bachelor's Degree,UPSC Exam,103000
Civil Services,Public Health Department,Master's Degree,UPSC Exam,87000
Indian Administrative Service,Public Health Department,PhD,Tax Inspector Exam,106000
Public Health Officer,Public Health Department,PhD,UPSC Exam,84000
Indian Police Service,Public Health Department,Bachelor's Degree,Tax Inspector Exam,90000
Bank Probationary Officer,Public Health Department,PhD,SSC Exam,63000
State Public Service Commission,Public Health Department,Master's Degree,Civil Services Exam,88000
Tax Inspector,Public Health Department,PhD,SSC Exam,76000
State Public Service Commission,Public Health Department,Master's Degree,Railway Exam,85000
Educational Services Officer,Public Health Department,Bachelor's Degree,Civil Services Exam,90000
Indian Administrative Service,Public Health Department,PhD,UPSC Exam,99000
Public Health Officer,Public Health Department,Bachelor's Degree,Bank PO Exam,64000
Indian Police Service,Public Health Department,Master's Degree,Tax Inspector Exam,107000
Indian Administrative Service,Railways,PhD,Railway Exam,119000
Forest Services Officer,Railways,Bachelor's Degree,Education Services Exam,96000
Educational Services Officer,Railways,Bachelor's Degree,State PSC Exam,65000
Forest Services Officer,Railways,Master's Degree,Education Services Exam,96000
Railway Officer,Railways,Bachelor's Degree,Education Services Exam,88000
Bank Probationary Officer,Railways,PhD,Education Services Exam,67000
Civil Services,Railways,PhD,Forest Services Exam,81000
Civil Services,Railways,Bachelor's Degree,Public Health Officer Exam,100000
Indian Police Service,Railways,Bachelor's Degree,Civil Services Exam,119000
Educational Services Officer,Railways,Bachelor's Degree,State PSC Exam,82000
Indian Administrative Service,Railways,PhD,Forest Services Exam,105000
Bank Probationary Officer,Railways,Bachelor's Degree,Railway Exam,80000
Bank Probationary Officer,Railways,PhD,Railway Exam,80000
Civil Services,Railways,Master's Degree,Tax Inspector Exam,112000
Indian Administrative Service,Railways,Bachelor's Degree,State PSC Exam,103000
Bank Probationary Officer,Railways,PhD,State PSC Exam,84000
Railway Officer,Railways,PhD,Public Health Officer Exam,88000
Railway Officer,Railways,Master's Degree,Railway Exam,80000
Indian Police Service,Railways,Bachelor's Degree,Bank PO Exam,104000
Indian Police Service,Railways,Master's Degree,State PSC Exam,119000
Indian Administrative Service,Railways,Bachelor's Degree,Railway Exam,122000
Civil Services,Railways,Master's Degree,SSC Exam,96000
Civil Services,Railways,PhD,State PSC Exam,103000
Public Health Officer,Railways,Bachelor's Degree,Forest Services Exam,84000
Indian Police Service,Railways,Master's Degree,Education Services Exam,108000
Indian Administrative Service,Railways,PhD,Railway Exam,106000
Civil Services,Railways,PhD,Tax Inspector Exam,97000
State Public Service Commission,Railways,Bachelor's Degree,UPSC Exam,99000
Indian Police Service,Railways,PhD,Tax Inspector Exam,88000
Bank Probationary Officer,Railways,Bachelor's Degree,Civil Services Exam,70000
Railway Officer,Railways,Bachelor's Degree,Civil Services Exam,77000
Indian Administrative Service,Railways,Bachelor's Degree,Education Services Exam,106000
Public Health Officer,Railways,Bachelor's Degree,Education Services Exam,73000
State Public Service Commission,Railways,Master's Degree,Bank PO Exam,86000
Public Health Officer,Railways,Bachelor's Degree,Tax Inspector Exam,71000
Indian Police Service,Railways,Master's Degree,Bank PO Exam,116000
Indian Administrative Service,Railways,Master's Degree,Railway Exam,96000
Civil Services,Railways,PhD,Tax Inspector Exam,89000
Public Health Officer,Railways,Bachelor's Degree,Bank PO Exam,65000
Railway Officer,Railways,Master's Degree,Bank PO Exam,76000
State Public Service Commission,Railways,Master's Degree,Public Health Officer Exam,85000
Civil Services,Railways,Master's Degree,Education Services Exam,96000
Railway Officer,Railways,Bachelor's Degree,Forest Services Exam,78000
State Public Service Commission,Railways,PhD,State PSC Exam,94000
Civil Services,Railways,Bachelor's Degree,Civil Services Exam,100000
Indian Administrative Service,Railways,Bachelor's Degree,Civil Services Exam,124000
State Public Service Commission,Railways,PhD,UPSC Exam,96000
Indian Administrative Service,Railways,Bachelor's Degree,Bank PO Exam,122000
Indian Police Service,Railways,PhD,Civil Services Exam,90000
Railway Officer,Railways,Master's Degree,SSC Exam,75000
Indian Administrative Service,Railways,Bachelor's Degree,Civil Services Exam,114000
Railway Officer,Railways,PhD,Public Health Officer Exam,71000
Indian Administrative Service,Railways,Master's Degree,Education Services Exam,121000
State Public Service Commission,Railways,Master's Degree,Civil Services Exam,87000
Indian Administrative Service,Railways,Bachelor's Degree,Forest Services Exam,123000
Indian Administrative Service,Railways,PhD,Railway Exam,124000
State Public Service Commission,Railways,Master's Degree,UPSC Exam,80000
State Public Service Commission,Railways,PhD,Railway Exam,81000
Bank Probationary Officer,Railways,PhD,UPSC Exam,78000
Bank Probationary Officer,Railways,PhD,State PSC Exam,62000
Indian Police Service,Railways,Master's Degree,Bank PO Exam,104000
Railway Officer,Railways,Bachelor's Degree,Tax Inspector Exam,93000
Public Health Officer,Railways,Master's Degree,Bank PO Exam,78000
Forest Services Officer,Railways,PhD,Education Services Exam,98000
Railway Officer,Railways,Master's Degree,Bank PO Exam,64000
Indian Administrative Service,Railways,Master's Degree,Forest Services Exam,116000
Civil Services,Railways,Bachelor's Degree,Public Health Officer Exam,110000
Tax Inspector,Railways,Bachelor's Degree,Tax Inspector Exam,77000
Forest Services Officer,Railways,Master's Degree,Forest Services Exam,84000
Indian Police Service,Railways,PhD,SSC Exam,95000
State Public Service Commission,Railways,PhD,Forest Services Exam,96000
Bank Probationary Officer,Railways,PhD,Education Services Exam,79000
Forest Services Officer,Railways,PhD,Railway Exam,80000
Tax Inspector,Railways,PhD,Education Services Exam,71000
Indian Administrative Service,Railways,PhD,State PSC Exam,96000
Civil Services,Railways,PhD,Forest Services Exam,99000
Indian Administrative Service,Railways,Bachelor's Degree,Education Services Exam,99000
Public Health Officer,Railways,Master's Degree,Education Services Exam,86000
Indian Police Service,Railways,PhD,Civil Services Exam,106000
State Public Service Commission,Railways,PhD,UPSC Exam,88000
Indian Administrative Service,Railways,PhD,UPSC Exam,108000
Forest Services Officer,Railways,PhD,Bank PO Exam,86000
Civil Services,Railways,Bachelor's Degree,Education Services Exam,96000
Tax Inspector,Railways,Master's Degree,Civil Services Exam,83000
Indian Police Service,Railways,PhD,UPSC Exam,98000
Bank Probationary Officer,Railways,PhD,Railway Exam,80000
Civil Services,Railways,PhD,Public Health Officer Exam,89000
Tax Inspector,Railways,Bachelor's Degree,UPSC Exam,58000
Railway Officer,Railways,Bachelor's Degree,Civil Services Exam,61000
Forest Services Officer,Railways,Master's Degree,Education Services Exam,96000
Indian Administrative Service,Railways,Bachelor's Degree,Forest Services Exam,125000
Forest Services Officer,Railways,PhD,Civil Services Exam,68000
Forest Services Officer,Railways,PhD,Civil Services Exam,74000
Public Health Officer,Railways,Master's Degree,Civil Services Exam,61000
Public Health Officer,Railways,PhD,Forest Services Exam,89000
Civil Services,Railways,PhD,Bank PO Exam,102000
Indian Police Service,Railways,PhD,Civil Services Exam,101000
Indian Police Service,Railways,PhD,Tax Inspector Exam,106000
